,id,date,home_team,opponent,attend,temp,day_night_categories,visiting_OPS+,visiting_ERA+,visiting_win_percent,city_rivals_flag,weekend_flag,home_opener_flag,holiday_flag,rainy_flag,cap,shirt,fireworks,bobblehead,promotion_flag
0,1905,2012-04-04,Miami Marlins,St. Louis Cardinals,36601,79,non_sunday_night,107,103,0.543,0,0,1,0,0,NO,NO,NO,NO,0
1,1319,2012-04-05,Cincinnati Reds,Miami Marlins,42956,60,non_sunday_day,85,100,0.426,0,0,1,0,0,NO,NO,NO,NO,0
2,1412,2012-04-05,New York Mets,Atlanta Braves,42080,53,non_sunday_day,90,117,0.58,0,0,1,0,0,NO,NO,NO,NO,0
3,184,2012-04-05,Cleveland Indians,Toronto Blue Jays,43190,44,non_sunday_day,94,91,0.451,0,0,1,0,0,NO,NO,NO,NO,0
4,1993,2012-04-05,San Diego Padres,Los Angeles Dodgers,42941,69,non_sunday_night,91,114,0.531,0,0,1,0,0,NO,YES,NO,NO,1
5,703,2012-04-05,Pittsburgh Pirates,Philadelphia Phillies,39585,52,non_sunday_day,92,105,0.5,0,0,1,0,0,NO,NO,NO,NO,0
6,832,2012-04-05,Chicago Cubs,Washington Nationals,41176,51,non_sunday_day,101,120,0.605,0,0,1,0,0,NO,NO,NO,NO,0
7,500,2012-04-05,Detroit Tigers,Boston Red Sox,45027,43,non_sunday_day,96,90,0.426,0,0,1,0,0,NO,NO,NO,NO,0
8,605,2012-04-06,Los Angeles Angels,Kansas City Royals,44106,69,non_sunday_night,94,98,0.444,0,1,1,0,0,NO,NO,YES,NO,1
9,1191,2012-04-06,Texas Rangers,Chicago White Sox,49085,75,non_sunday_day,98,106,0.525,0,1,1,0,0,NO,NO,NO,NO,0
10,132,2012-04-06,Tampa Bay Rays,New York Yankees,34078,72,non_sunday_day,112,110,0.586,0,1,1,0,0,NO,NO,NO,NO,0
11,2273,2012-04-06,Arizona Diamondbacks,San Francisco Giants,49130,77,non_sunday_night,106,96,0.58,0,1,1,0,0,NO,YES,NO,NO,1
12,1779,2012-04-06,Houston Astros,Colorado Rockies,43464,79,non_sunday_night,93,89,0.395,0,1,1,0,0,NO,NO,YES,NO,1
13,1909,2012-04-06,Milwaukee Brewers,St. Louis Cardinals,46086,65,non_sunday_day,107,103,0.543,0,1,1,0,0,NO,NO,NO,NO,0
14,1,2012-04-06,Baltimore Orioles,Minnesota Twins,46773,59,non_sunday_day,98,86,0.407,0,1,1,0,0,NO,NO,NO,NO,0
15,1089,2012-04-06,Oakland Athletics,Seattle Mariners,35067,55,non_sunday_night,88,102,0.463,0,1,1,0,0,NO,NO,NO,NO,0
16,1994,2012-04-06,San Diego Padres,Los Angeles Dodgers,32490,61,non_sunday_night,91,114,0.531,0,1,0,0,0,NO,NO,YES,NO,1
17,1995,2012-04-07,San Diego Padres,Los Angeles Dodgers,31909,71,non_sunday_night,91,114,0.531,0,1,0,0,0,NO,NO,NO,NO,0
18,185,2012-04-07,Cleveland Indians,Toronto Blue Jays,18842,48,non_sunday_day,94,91,0.451,0,1,0,0,0,NO,NO,NO,NO,0
19,1320,2012-04-07,Cincinnati Reds,Miami Marlins,41662,67,non_sunday_night,85,100,0.426,0,1,0,0,0,NO,NO,YES,NO,1
20,133,2012-04-07,Tampa Bay Rays,New York Yankees,34078,72,non_sunday_night,112,110,0.586,0,1,0,0,0,NO,NO,NO,NO,0
21,704,2012-04-07,Pittsburgh Pirates,Philadelphia Phillies,38885,58,non_sunday_night,92,105,0.5,0,1,0,0,0,NO,NO,YES,NO,1
22,1413,2012-04-07,New York Mets,Atlanta Braves,39526,55,non_sunday_day,90,117,0.58,0,1,0,0,0,NO,NO,NO,NO,0
23,2274,2012-04-07,Arizona Diamondbacks,San Francisco Giants,34789,79,non_sunday_day,106,96,0.58,0,1,0,0,0,NO,NO,NO,NO,0
24,1090,2012-04-07,Oakland Athletics,Seattle Mariners,16612,59,non_sunday_day,88,102,0.463,0,1,0,0,0,NO,NO,NO,NO,0
25,833,2012-04-07,Chicago Cubs,Washington Nationals,40102,60,non_sunday_day,101,120,0.605,0,1,0,0,0,NO,NO,NO,NO,0
26,606,2012-04-07,Los Angeles Angels,Kansas City Royals,40022,85,non_sunday_day,94,98,0.444,0,1,0,0,0,NO,NO,NO,NO,0
27,501,2012-04-07,Detroit Tigers,Boston Red Sox,44710,62,non_sunday_day,96,90,0.426,0,1,0,0,0,NO,NO,NO,NO,0
28,2,2012-04-07,Baltimore Orioles,Minnesota Twins,31532,63,non_sunday_night,98,86,0.407,0,1,0,0,0,NO,NO,NO,NO,0
29,1780,2012-04-07,Houston Astros,Colorado Rockies,23962,80,non_sunday_night,93,89,0.395,0,1,0,0,0,NO,NO,NO,NO,0
30,1192,2012-04-07,Texas Rangers,Chicago White Sox,47867,82,non_sunday_night,98,106,0.525,0,1,0,0,0,NO,NO,NO,NO,0
31,1910,2012-04-07,Milwaukee Brewers,St. Louis Cardinals,42084,70,non_sunday_day,107,103,0.543,0,1,0,0,0,NO,NO,NO,NO,0
32,1193,2012-04-08,Texas Rangers,Chicago White Sox,45368,65,sunday_night,98,106,0.525,0,1,0,0,0,NO,NO,NO,NO,0
33,3,2012-04-08,Baltimore Orioles,Minnesota Twins,14738,68,sunday_day,98,86,0.407,0,1,0,0,0,NO,NO,NO,NO,0
34,607,2012-04-08,Los Angeles Angels,Kansas City Royals,32227,80,sunday_day,94,98,0.444,0,1,0,0,0,NO,NO,NO,NO,0
35,134,2012-04-08,Tampa Bay Rays,New York Yankees,30413,72,sunday_day,112,110,0.586,0,1,0,0,0,NO,NO,NO,NO,0
36,1414,2012-04-08,New York Mets,Atlanta Braves,27855,59,sunday_day,90,117,0.58,0,1,0,0,0,NO,NO,NO,NO,0
37,1781,2012-04-08,Houston Astros,Colorado Rockies,14195,72,sunday_day,93,89,0.395,0,1,0,0,0,NO,NO,NO,NO,0
38,2275,2012-04-08,Arizona Diamondbacks,San Francisco Giants,24193,83,sunday_day,106,96,0.58,0,1,0,0,0,NO,NO,NO,NO,0
39,834,2012-04-08,Chicago Cubs,Washington Nationals,31973,60,sunday_day,101,120,0.605,0,1,0,0,0,NO,NO,NO,NO,0
40,1996,2012-04-08,San Diego Padres,Los Angeles Dodgers,19021,72,sunday_day,91,114,0.531,0,1,0,0,0,NO,NO,NO,NO,0
41,502,2012-04-08,Detroit Tigers,Boston Red Sox,30788,58,sunday_day,96,90,0.426,0,1,0,0,0,NO,NO,NO,NO,0
42,705,2012-04-08,Pittsburgh Pirates,Philadelphia Phillies,19856,58,sunday_day,92,105,0.5,0,1,0,0,0,NO,NO,NO,NO,0
43,1911,2012-04-08,Milwaukee Brewers,St. Louis Cardinals,33211,70,sunday_day,107,103,0.543,0,1,0,0,0,NO,NO,NO,NO,0
44,1321,2012-04-08,Cincinnati Reds,Miami Marlins,23539,61,sunday_day,85,100,0.426,0,1,0,0,0,NO,NO,NO,NO,0
45,186,2012-04-08,Cleveland Indians,Toronto Blue Jays,10518,51,sunday_day,94,91,0.451,0,1,0,0,0,NO,NO,NO,NO,0
46,1886,2012-04-09,Cincinnati Reds,St. Louis Cardinals,16909,64,non_sunday_night,107,103,0.543,0,0,0,0,0,NO,NO,NO,NO,0
47,81,2012-04-09,Baltimore Orioles,New York Yankees,25478,65,non_sunday_night,112,110,0.586,0,0,0,0,0,NO,NO,NO,NO,0
48,1342,2012-04-09,Philadelphia Phillies,Miami Marlins,45574,62,non_sunday_day,85,100,0.426,0,0,1,0,0,NO,NO,NO,NO,0
49,1104,2012-04-09,Texas Rangers,Seattle Mariners,42003,75,non_sunday_night,88,102,0.463,0,0,0,0,0,NO,NO,NO,NO,0
50,623,2012-04-09,Oakland Athletics,Kansas City Royals,10054,55,non_sunday_day,94,98,0.444,0,0,0,0,0,NO,NO,NO,NO,0
51,1637,2012-04-09,Chicago Cubs,Milwaukee Brewers,38136,57,non_sunday_night,101,98,0.512,0,0,0,0,0,YES,NO,NO,NO,1
52,1374,2012-04-09,Houston Astros,Atlanta Braves,17095,79,non_sunday_night,90,117,0.58,0,0,0,0,0,NO,NO,NO,NO,0
53,2291,2012-04-09,Colorado Rockies,San Francisco Giants,49282,66,non_sunday_day,106,96,0.58,0,0,1,0,0,NO,NO,NO,NO,0
54,858,2012-04-09,New York Mets,Washington Nationals,23970,61,non_sunday_night,101,120,0.605,0,0,0,0,0,NO,NO,NO,NO,0
55,546,2012-04-09,Toronto Blue Jays,Boston Red Sox,48473,68,non_sunday_night,96,90,0.426,0,0,1,0,0,NO,NO,NO,NO,0
56,1137,2012-04-09,Cleveland Indians,Chicago White Sox,9473,56,non_sunday_night,98,106,0.525,0,0,0,0,0,NO,NO,NO,NO,0
